result,matchday,home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,elo_home,elo_away,elo_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff
D,20,6,7.0,8.0,-1.0,2,0,5,11.0,13.0,-2.0,1,2,3,0.0,4,2.0,1,1.0,11,15,4,6,5,1,-1.0,-2.0,1485.1780981024615,1484.5477498110654,0.6303482913963308,13.8,9.2,4.4,3.8,13.2,11.4,4.4,3.6,0.6000000000000014,0.0,0
D,20,4,5.0,6.0,-1.0,0,4,9,8.0,6.0,2.0,3,0,2,0.0,3,-1.0,-5,-3.0,17,5,-12,4,9,-5,-1.0,2.0,1482.7209251390373,1512.5561141531005,-29.83518901406319,10.8,14.0,3.6,5.0,9.2,16.4,4.2,4.2,1.6000000000000014,-0.6000000000000001,0
H,20,5,9.0,8.0,1.0,1,2,7,9.0,8.0,1.0,2,1,3,3.0,4,2.0,-2,0.0,12,8,-4,5,7,-2,1.0,1.0,1484.2908276721544,1500.827148136878,-16.53632046472353,13.2,9.8,4.8,3.4,13.6,11.8,5.0,5.4,-0.40000000000000036,-0.20000000000000018,0
H,20,5,8.0,10.0,-2.0,1,2,8,9.0,8.0,1.0,2,2,1,-2.0,3,-1.0,-3,-3.0,14,7,-7,5,8,-3,-2.0,1.0,1486.3913629061442,1518.813992314901,-32.42262940875685,9.8,15.4,3.8,5.4,9.8,20.8,3.2,5.6,0.0,0.5999999999999996,0
D,20,9,10.0,6.0,4.0,2,3,7,7.0,6.0,1.0,2,1,4,1.0,4,1.0,2,3.0,4,9,5,9,7,2,4.0,1.0,1531.3342913736326,1493.726753188517,37.60753818511557,15.0,8.4,4.8,3.4,11.4,12.0,3.4,3.6,3.5999999999999996,1.4,0
A,20,6,7.0,7.0,0.0,1,3,8,8.0,5.0,3.0,2,2,2,0.0,4,2.0,-2,-3.0,10,6,-4,6,8,-2,0.0,3.0,1496.5248494070531,1516.0640865561484,-19.539237149095243,10.0,18.0,3.6,4.8,13.8,10.2,4.6,2.6,-3.8000000000000007,-0.9999999999999996,0
H,20,13,16.0,7.0,9.0,4,1,10,4.0,4.0,0.0,3,1,6,4.0,6,2.0,3,9.0,1,3,2,13,10,3,9.0,0.0,1559.6315767831186,1528.4537730590605,31.17780372405832,17.0,11.8,6.4,3.8,7.6,11.8,1.8,2.6,9.4,4.6000000000000005,0
H,20,5,3.0,7.0,-4.0,1,2,3,1.0,4.0,-3.0,0,3,1,-2.0,1,-1.0,2,-1.0,17,19,2,5,3,2,-4.0,-3.0,1486.732862379283,1470.7176260420313,16.015236337251736,11.0,9.6,2.8,3.4,11.6,11.2,3.0,3.8,-0.5999999999999996,-0.20000000000000018,0
H,20,5,4.0,5.0,-1.0,1,2,3,5.0,11.0,-6.0,0,3,0,-2.0,1,-4.0,2,5.0,16,19,3,5,3,2,-1.0,-6.0,1486.0558467590072,1470.7421028342048,15.313743924802338,14.0,12.2,3.0,2.4,15.0,10.8,3.8,4.4,-1.0,-0.7999999999999998,0
H,20,4,3.0,4.0,-1.0,0,4,8,5.0,4.0,1.0,2,2,3,0.0,5,1.0,-4,-2.0,17,10,-7,5,8,-3,-1.0,0.0,1484.0915190581998,1501.351079123206,-17.259560065006326,12.4,13.4,3.8,4.2,14.0,14.0,3.2,2.2,-1.5999999999999996,0.5999999999999996,0
D,20,7,6.0,5.0,1.0,2,1,3,5.0,10.0,-5.0,0,3,6,3.0,1,-5.0,4,6.0,5,19,14,10,3,7,2.0,-7.0,1511.185520233938,1455.446870470006,55.73864976393202,9.6,16.6,3.6,3.8,15.8,10.6,4.0,4.0,-6.200000000000001,-0.3999999999999999,0
A,20,7,3.0,7.0,-4.0,2,1,8,10.0,7.0,3.0,2,2,4,-2.0,7,4.0,-1,-7.0,6,3,-3,10,11,-1,-3.0,5.0,1513.8857223485395,1531.1652188677117,-17.27949651917197,7.6,12.8,1.6,3.8,15.2,9.8,4.8,3.6,-7.6,-3.1999999999999997,0
H,20,3,8.0,11.0,-3.0,0,3,8,9.0,8.0,1.0,2,2,2,-2.0,4,0.0,-5,-4.0,16,9,-7,6,8,-2,-2.0,0.0,1481.4237170954898,1503.8801608988776,-22.456443803387856,9.8,18.2,3.8,4.8,12.2,14.0,4.6,4.4,-2.3999999999999986,-0.7999999999999998,0
D,20,7,7.0,8.0,-1.0,2,1,3,0.0,5.0,-5.0,0,3,5,2.0,1,-5.0,4,4.0,12,20,8,8,3,5,-1.0,-7.0,1501.3251943221676,1455.454633007451,45.87056131471627,9.0,21.4,2.8,6.2,11.8,13.0,3.0,4.4,-2.8000000000000007,-0.20000000000000018,0
H,20,4,6.0,8.0,-2.0,1,1,7,5.0,5.0,0.0,2,1,4,0.0,4,-2.0,-3,-2.0,14,11,-3,7,8,-1,-1.0,0.0,1485.149069522729,1501.995855413863,-16.846785891134004,16.2,9.0,5.0,3.6,13.0,10.2,3.0,3.4,3.1999999999999993,2.0,0
H,20,7,10.0,9.0,1.0,2,1,4,4.0,12.0,-8.0,1,1,3,-1.0,0,-9.0,3,9.0,16,20,4,7,4,3,0.0,-9.0,1484.0661969490106,1458.2653443505303,25.800852598480105,12.6,11.4,5.0,5.2,13.4,16.0,3.0,6.6,-0.8000000000000007,2.0,0
H,20,5,7.0,7.0,0.0,1,2,13,10.0,2.0,8.0,4,1,3,0.0,6,2.0,-8,-8.0,12,3,-9,8,13,-5,1.0,7.0,1495.451911922768,1546.424669031671,-50.97275710890312,10.6,11.6,3.4,4.0,13.2,7.2,6.0,2.4,-2.5999999999999996,-2.6,0
H,20,13,16.0,6.0,10.0,4,1,7,9.0,6.0,3.0,1,4,9,7.0,5,3.0,6,7.0,1,5,4,16,10,6,12.0,4.0,1574.1996274936391,1529.6091326393816,44.590494854257486,18.2,11.4,7.4,3.6,15.4,8.8,4.8,3.8,2.799999999999999,2.6000000000000005,0
